site,site_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sequoia and Kings C,061070009,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Porterville-NFS,061072010,4.0,5.0,3.0,6.0,4.0,2.0,4.0,6.0,4.0,2.0,5.0,4.0,3.0,3.0,7.0,12.0,15.0,13.0,10.0,12.0,10.0,8.0,4.0,10.0
Porterville-NFS,061072010,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Thousand Oaks - Moo,061110007,4.0,2.0,2.0,2.0,4.0,3.0,7.0,7.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,985.0,7.0,2.0,-2.0,0.0
Thousand Oaks - Moo,061110007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G
Piru - Pacific,061110009,2.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,0.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0
Piru - Pacific,061110009,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Ojai - Ojai Ave.,061111004,2.0,2.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,-2.0,3.0,4.0,2.0,1.0,1.0,0.0
Ojai - Ojai Ave.,061111004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Simi Valley - Cochr,061112002,4.0,3.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0,6.0,4.0,2.0,0.0,2.0,4.0,6.0,4.0,0.0,2.0,5.0,3.0,0.0,-1.0,4.0
Simi Valley - Cochr,061112002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
El Rio - Rio Mesa S,061113001,6.0,4.0,1.0,0.0,4.0,6.0,7.0,5.0,3.0,4.0,8.0,5.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,3.0,-1.0,-4.0,0.0,1.0
El Rio - Rio Mesa S,061113001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Davis - UCD Campus,061130004,4.7,5.5,5.2,3.6,5.2,7.7,4.4,1.3,0.4,1.8,1.8,1.5,3.7,5.0,4.2,2.5,3.0,5.9,6.4,3.6,2.8,3.5,0.5,0.1
Davis - UCD Campus,061130004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Woodland,061131003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Woodland,061131003,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Banja Luka,070BH2010001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Banja Luka,070BH2010001,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Sao Paulo,076BR1010001,23.6,24.1,24.6,23.2,23.0,25.7,24.7,34.8,35.4,30.5,22.3,10.9,12.9,10.2,11.1,11.9,21.6,20.7,26.3,35.8,41.8,42.2,51.0,46.4
Sao Paulo,076BR1010001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Longmont,080130003,4.7,4.5,4.2,4.2,4.7,5.5,5.0,5.5,5.2,6.2,6.0,4.5,4.0,4.9,7.0,6.7,6.9,5.0,4.2,4.4,3.3,1.6,2.1,2.7
Longmont,080130003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Boulder - CU - 2102,080131001,3.6,4.0,4.0,3.1,3.2,3.8,3.2,4.4,4.7,5.2,4.2,4.7,6.5,4.4,3.2,7.0,6.2,5.7,5.0,6.2,3.7,-999,3.7,4.5
Boulder - CU - 2102,080131001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G
Denver - CAMP - 210,080310002,3.0,2.7,3.2,3.7,3.0,2.5,3.0,3.7,4.7,6.7,6.7,8.3,7.7,5.0,3.7,3.3,3.6,3.6,3.7,4.0,3.3,2.8,3.5,5.0
Denver - CAMP - 210,080310002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Denver - NJH - 14th,080310013,3.8,3.5,3.6,3.7,3.5,3.6,3.7,4.0,4.0,4.7,6.7,8.9,7.2,7.7,5.9,-999,5.0,4.4,4.0,4.2,3.7,3.7,3.8,5.9
Denver - NJH - 14th,080310013,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G,G,G,G,G
Denver Swansea Elem,080310023,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Denver Swansea Elem,080310023,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
La Casa NCORE - 454,080310026,4.0,3.2,3.6,4.2,3.8,3.5,3.7,4.2,5.0,5.0,6.0,5.5,6.7,6.4,5.4,5.0,4.9,4.5,4.0,3.8,3.2,2.7,3.3,5.5
La Casa NCORE - 454,080310026,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
I25 Denver,080310027,3.3,3.2,3.3,3.8,2.7,2.7,3.3,5.4,6.7,9.4,7.4,7.0,7.7,6.9,4.5,5.2,4.0,3.7,4.2,4.4,3.0,2.8,4.7,5.7
I25 Denver,080310027,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Globeville,080310028,3.8,3.7,4.5,4.5,3.7,3.2,4.7,7.5,9.0,11.0,10.0,8.6,7.9,6.2,5.0,4.5,4.4,4.2,5.7,5.2,4.0,4.0,4.5,6.7
Globeville,080310028,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Chatfield Park - 11,080350004,2.7,3.2,3.0,3.0,3.1,3.2,3.2,3.2,3.5,4.2,4.2,4.5,4.9,5.2,5.2,5.2,4.2,3.5,2.7,1.6,1.8,2.0,1.8,2.2
Chatfield Park - 11,080350004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Colorado College,080410017,4.5,4.2,4.0,3.1,3.6,3.3,4.0,4.4,4.5,5.0,3.7,3.2,4.9,4.4,4.0,3.0,2.3,1.3,2.0,2.0,1.8,1.6,2.2,2.7
Colorado College,080410017,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Ute 1,080677001,3.2,2.8,2.5,2.2,2.3,2.6,2.3,2.2,2.6,2.7,2.7,3.0,2.8,2.7,2.8,2.7,3.1,3.7,4.2,4.4,3.6,3.2,3.2,3.2
Ute 1,080677001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Ute 3,080677003,3.2,2.8,2.1,2.0,1.8,1.8,2.2,2.2,2.7,2.7,3.0,3.0,3.1,3.2,3.3,3.7,3.7,3.8,4.0,4.0,3.8,3.7,3.7,3.7
Ute 3,080677003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Ft. Collins - CSU F,080690009,0.6,0.8,1.1,1.0,1.0,1.1,1.3,1.3,2.2,1.1,1.1,1.3,-999,-999,0.4,4.5,6.0,2.8,2.2,2.1,2.2,2.2,2.8,2.2
Ft. Collins - CSU F,080690009,G,G,G,G,G,G,G,G,G,G,G,G,M,M,G,G,G,G,G,G,G,G,G,G
Grand Junction - Po,080770017,1.6,1.5,1.0,1.0,1.1,1.6,1.6,1.6,2.3,2.3,2.0,2.1,1.6,1.5,1.8,1.8,2.1,5.4,5.7,1.5,1.3,1.1,1.3,1.5
Grand Junction - Po,080770017,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Yellow Brick Buildi,080970008,2.5,2.7,2.5,2.6,2.7,2.6,2.5,2.7,3.7,3.7,4.4,4.5,3.6,3.2,2.7,3.1,3.0,2.8,2.0,1.6,2.1,2.1,2.3,2.7
Yellow Brick Buildi,080970008,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Rangely CO,081030006,1.0,16.0,6.0,6.0,7.0,6.0,6.0,12.0,10.0,9.0,7.0,4.0,-980,-980,15.0,10.0,6.0,6.0,4.0,1.0,-999,-999,-999,-980
Rangely CO,081030006,G,G,G,G,G,G,G,G,G,G,G,G,B,B,G,G,G,G,G,G,M,M,M,B
Greeley Hospital,081230006,5.5,6.7,6.2,6.7,8.4,9.4,10.0,9.5,9.8,10.1,11.1,12.4,10.4,7.7,5.5,3.6,3.2,2.2,2.1,2.2,3.0,2.3,4.7,3.3
Greeley Hospital,081230006,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Belmopan,084BZ1010001,15.0,14.0,12.0,13.0,18.0,13.0,15.0,21.0,15.0,13.0,12.0,8.0,11.0,10.0,9.0,12.0,17.0,11.0,12.0,14.0,21.0,13.0,17.0,15.0
Belmopan,084BZ1010001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Bridgeport,090010010,76.4,88.9,89.0,86.0,83.2,81.4,81.0,77.0,74.7,73.7,73.7,82.2,169.0,250.4,286.3,289.0,286.6,288.0,269.6,255.5,257.5,255.8,239.4,147.5
Bridgeport,090010010,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Danbury,090011123,75.0,73.0,69.9,68.7,68.4,67.5,66.2,64.4,64.2,60.8,72.4,136.5,205.3,213.0,226.5,217.1,222.6,218.9,210.4,208.6,204.0,131.8,90.5,86.2
Danbury,090011123,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Hartford,090030025,44.8,47.2,53.0,59.1,61.1,65.5,65.0,61.0,59.7,64.2,84.4,115.7,126.9,118.4,103.7,91.5,81.0,75.4,64.5,68.4,75.5,77.5,76.2,78.5
Hartford,090030025,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
East Hartford,090031003,43.8,48.1,53.0,54.7,54.7,55.8,58.2,61.2,60.0,64.2,-999,112.0,128.1,119.7,103.0,88.2,77.5,68.4,63.5,65.9,75.5,74.7,72.7,76.5
East Hartford,090031003,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G,G,G,G,G,G,G,G,G,G
Cornwall,090050005,67.2,73.4,75.5,76.0,75.5,70.0,71.2,68.4,66.5,69.2,84.2,126.4,150.5,152.9,155.5,146.5,125.2,128.8,137.8,128.1,72.2,76.9,85.7,90.7
Cornwall,090050005,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
New Haven,090090027,49.7,55.7,62.6,65.0,67.5,67.7,66.2,63.6,60.2,60.5,63.1,91.0,152.0,225.4,200.5,181.5,187.6,218.0,231.3,230.5,225.6,205.9,134.5,91.4
New Haven,090090027,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Waterbury,090092123,55.5,54.0,55.7,58.3,59.2,63.2,65.0,66.0,63.5,62.8,69.7,108.0,157.9,183.5,158.8,146.5,150.1,128.4,115.7,120.5,124.5,95.7,76.0,77.0
Waterbury,090092123,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Groton,090110124,64.4,52.8,46.2,46.8,50.1,54.3,57.8,58.7,55.2,47.2,44.2,70.7,129.5,105.2,84.5,130.5,130.3,108.2,64.4,51.0,46.2,46.5,48.7,50.7
Groton,090110124,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
KILLENS,100010002,78.2,185.4,193.9,180.1,175.3,175.1,174.0,172.0,171.6,163.4,140.9,97.0,91.9,90.0,88.0,84.2,81.5,82.7,84.0,83.9,83.7,84.7,95.5,97.2
KILLENS,100010002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
RIVER ROAD PARK; BE,100031003,-999,-999,-999,-999,-999,-999,-999,-999,155.3,129.6,113.2,113.0,102.7,99.9,98.7,97.0,128.4,219.8,258.8,266.3,261.0,265.1,351.1,428.1
RIVER ROAD PARK; BE,100031003,M,M,M,M,M,M,M,M,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
LUMS 2,100031007,159.9,160.9,158.9,158.4,158.8,161.0,160.1,155.5,154.9,127.8,103.0,123.9,113.2,94.7,83.1,82.2,73.3,86.4,87.5,89.8,99.7,119.5,145.2,314.9
LUMS 2,100031007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Rte 9 Del. City,100031008,172.0,162.6,164.5,166.5,167.9,168.1,166.4,160.0,150.5,116.9,105.5,112.5,98.4,85.2,83.2,87.7,84.5,90.0,111.7,205.5,204.0,199.4,243.6,385.3
Rte 9 Del. City,100031008,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
MLK,100032004,168.3,159.4,160.6,163.8,167.0,166.0,169.0,165.8,147.5,113.7,103.9,109.2,97.7,95.0,96.4,91.2,103.7,188.3,222.8,236.1,234.8,231.9,300.1,380.3
MLK,100032004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
SEAFORD,100051002,40.2,60.8,133.4,152.0,169.3,174.3,172.4,169.9,164.5,156.0,148.0,136.6,119.2,96.4,93.0,90.7,95.2,93.7,99.0,113.9,125.4,126.0,127.0,124.9
SEAFORD,100051002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Rangoon,104MMR010001,19.0,18.0,18.0,16.0,14.0,16.0,14.0,16.0,1.0,3.0,4.0,4.0,2.0,3.0,7.0,8.0,8.0,15.0,17.0,19.0,20.0,17.0,11.0,-999
Rangoon,104MMR010001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M
RIVER_Terrace,110010041,32.0,72.0,69.0,85.0,85.0,86.0,88.0,94.0,106.0,103.0,89.0,79.0,75.0,56.0,53.0,47.0,51.0,48.0,46.0,45.0,46.0,53.0,51.0,56.0
RIVER_Terrace,110010041,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
McMillan Reservoir,110010043,32.0,82.0,85.0,84.0,99.0,103.0,99.0,96.0,138.0,109.0,92.0,115.0,80.0,60.0,55.0,46.0,44.0,49.0,48.0,44.0,45.0,50.0,75.0,72.0
McMillan Reservoir,110010043,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
DCNearRoad,110010051,29.0,63.0,63.0,84.0,77.0,81.0,88.0,95.0,101.0,101.0,85.0,72.0,72.0,56.0,51.0,48.0,44.0,46.0,44.0,41.0,40.0,46.0,46.0,64.0
DCNearRoad,110010051,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Osceola National Fo,120030002,13.0,12.0,11.5,11.4,12.0,13.3,13.8,13.0,17.5,15.0,10.6,14.8,11.4,16.6,11.5,3.7,8.8,14.5,8.5,9.9,11.8,9.9,6.7,7.9
Osceola National Fo,120030002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
St. Andrews Park,120050006,8.9,10.5,8.9,8.5,9.0,8.9,8.6,9.9,13.3,12.0,10.5,9.5,7.5,6.5,5.7,6.5,5.7,6.4,6.9,6.2,5.2,5.4,6.9,5.7
St. Andrews Park,120050006,K,G,G,K,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Melbourne,120090007,10.5,10.1,10.4,9.9,9.4,9.6,8.8,8.5,8.4,7.2,5.9,5.2,5.5,5.4,5.5,6.4,6.2,7.5,6.9,5.9,6.2,8.3,8.9,9.0
Melbourne,120090007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
V_VIEW,120110033,5.7,5.7,5.4,5.2,4.5,4.5,4.7,5.4,5.7,6.2,7.0,7.0,6.5,5.2,6.4,6.2,5.9,6.5,7.0,7.7,8.0,8.6,10.1,10.9
V_VIEW,120110033,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
NCORE,120110034,6.0,5.7,5.5,4.5,5.5,5.9,6.0,6.5,7.4,7.7,9.0,9.4,7.7,6.5,7.9,9.8,7.2,8.8,8.4,8.5,8.4,8.9,11.3,13.1
NCORE,120110034,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Near Road,120110035,10.5,6.7,6.9,11.5,8.9,10.3,9.5,9.5,8.4,9.9,10.5,9.8,11.4,11.0,10.6,12.5,10.5,9.6,10.5,11.4,12.3,12.8,14.5,15.8
Near Road,120110035,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
POMPANO_BEACH,120112003,5.7,5.2,5.4,6.7,7.2,6.4,6.5,7.4,7.7,7.7,7.4,8.0,8.9,10.5,9.0,11.5,7.7,7.2,8.8,9.0,10.0,10.3,10.9,12.0
POMPANO_BEACH,120112003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Crystal River Prese,120170006,15.8,15.0,14.9,15.6,16.1,15.1,16.6,19.0,19.6,11.1,11.9,12.4,10.1,9.6,10.1,10.0,9.1,10.0,9.0,9.1,9.5,10.8,7.5,5.4
Crystal River Prese,120170006,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Laurel Oaks Element,120210004,4.5,5.9,4.9,4.5,5.9,5.0,6.5,7.2,6.2,6.5,7.7,3.6,10.4,10.0,8.8,8.5,12.8,9.5,17.6,16.6,10.9,12.5,14.1,13.6
Laurel Oaks Element,120210004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Lake City,120230002,14.4,12.8,13.6,14.0,15.8,18.3,22.1,24.6,21.1,18.1,13.4,15.9,8.0,16.6,5.9,5.5,11.8,14.6,21.3,12.3,3.8,7.0,11.0,8.0
Lake City,120230002,G,K,K,K,K,K,G,K,K,K,G,G,G,G,K,G,K,K,K,G,K,G,G,K
Kooker Park,120310032,10.3,8.5,11.9,10.6,11.0,13.0,11.9,15.0,16.3,15.0,15.3,14.5,15.9,14.9,14.0,12.0,9.0,17.5,14.5,11.5,9.3,12.4,11.4,7.2
Kooker Park,120310032,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Sheffield Elementar,120310077,9.6,9.5,10.3,14.3,14.6,14.0,14.1,15.1,16.3,14.6,15.0,15.0,15.8,16.0,14.8,16.6,11.4,17.0,7.7,8.0,8.5,10.3,11.5,11.1
Sheffield Elementar,120310077,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Mandarin,120310098,11.0,10.3,11.0,11.4,11.4,12.0,12.4,13.1,14.9,14.5,16.8,15.5,14.0,15.3,17.0,16.6,14.5,10.3,7.7,8.8,9.4,8.3,9.0,11.0
Mandarin,120310098,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Mayo Clinic,120310100,7.4,8.0,10.4,9.5,10.8,11.0,11.0,10.0,14.0,16.5,15.9,11.9,8.8,15.4,14.1,13.3,24.8,7.7,7.2,11.1,9.9,11.0,9.4,10.4
Mayo Clinic,120310100,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Pepsi Place,120310108,10.9,13.3,13.0,11.9,11.9,12.0,12.8,14.6,16.8,14.8,14.6,15.8,16.1,16.6,17.6,13.8,14.0,11.4,8.5,9.5,10.3,9.4,8.5,9.5
Pepsi Place,120310108,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Ellyson Industrial,120330004,12.5,13.1,14.0,13.0,12.6,15.4,14.0,13.9,12.1,12.1,11.3,8.8,8.4,9.4,6.7,6.5,6.0,5.5,5.5,6.0,5.9,6.0,7.0,7.2
Ellyson Industrial,120330004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
APOLLO BEACH,120570112,5.5,5.0,10.5,7.7,14.1,12.4,11.5,9.5,12.0,4.5,-2.0,9.0,18.1,3.5,6.5,8.5,-3.8,4.5,6.0,5.5,4.7,6.0,5.0,6.5
APOLLO BEACH,120570112,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G
MUNRO STREET,120570113,6.0,5.5,5.5,7.2,9.4,10.5,10.5,10.6,9.8,7.4,6.5,5.7,5.5,4.7,4.4,5.0,5.2,5.5,5.2,5.5,6.0,5.7,5.5,5.5
MUNRO STREET,120570113,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
GANDY,120571065,5.7,4.0,3.3,5.2,9.3,9.8,11.6,12.0,12.9,7.7,4.7,8.3,3.6,6.0,6.0,9.1,5.2,1.5,8.1,7.2,9.1,4.7,7.4,6.9
GANDY,120571065,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
SYDNEY,120573002,7.7,8.8,7.0,6.0,6.5,8.5,8.9,8.3,4.7,4.0,1.6,1.6,0.8,3.0,3.6,3.2,3.5,4.5,5.9,5.4,1.5,7.5,4.5,4.7
SYDNEY,120573002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Bonifay,120590004,6.7,7.2,7.7,7.0,6.5,6.9,7.2,12.0,17.0,10.3,2.1,6.5,5.7,0.9,18.8,14.3,2.8,9.5,8.8,11.5,12.3,2.8,9.8,8.5
Bonifay,120590004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Tallahassee Communi,120730012,8.8,8.6,9.9,9.5,9.3,8.8,10.9,10.5,14.5,12.3,27.8,12.1,13.9,10.5,4.7,2.7,2.2,5.5,5.7,7.0,7.5,7.2,6.2,5.7
Tallahassee Communi,120730012,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
YMCA - Marion Count,120830003,10.9,10.0,13.9,12.3,5.7,8.5,11.4,13.3,18.6,20.0,11.0,11.5,8.3,5.0,9.0,0.0,0.0,3.2,2.8,3.3,-1.1,1.6,5.5,3.6
YMCA - Marion Count,120830003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,K,B,G,G,G,G,G,G,G,G
Stuart,120850007,10.4,10.0,9.6,9.8,9.4,9.5,9.5,9.0,6.7,6.4,6.0,6.0,5.7,5.9,6.2,6.0,8.0,8.0,7.4,9.0,9.5,10.5,17.8,19.8
Stuart,120850007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Kendal,120860034,6.5,6.2,6.5,7.2,7.9,7.4,11.0,11.5,12.5,11.0,11.5,13.3,13.3,9.3,12.0,9.4,12.0,7.9,8.3,12.8,14.0,13.9,14.6,16.1
Kendal,120860034,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Miami Fire Station,120861016,8.5,6.2,5.2,6.0,6.2,7.0,8.0,10.1,10.6,8.4,9.0,9.5,10.0,10.5,8.0,8.4,10.0,9.0,8.5,8.9,11.0,12.4,12.8,13.4
Miami Fire Station,120861016,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Homestead Fire Stat,120866001,4.0,4.2,4.2,0.2,12.5,7.0,16.0,16.1,10.4,10.1,3.3,4.4,9.5,8.3,3.2,12.0,8.9,6.0,15.0,16.6,7.5,12.0,18.5,10.5
Homestead Fire Stat,120866001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Winter Park,120952002,10.6,10.5,10.5,10.3,10.4,10.5,10.3,9.5,8.5,8.1,6.7,6.2,5.2,5.5,5.0,4.4,7.0,7.5,5.7,4.7,5.0,5.2,6.7,6.9
Winter Park,120952002,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G
Belle Glade,120990008,7.7,7.5,7.9,7.7,8.9,9.5,8.9,8.0,6.5,6.2,5.4,5.5,6.2,6.5,6.9,6.2,6.5,7.5,7.0,5.9,10.8,15.0,13.8,15.9
Belle Glade,120990008,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
St. Petersburg Coll,121030004,12.3,12.1,12.1,12.3,11.0,9.4,6.9,7.7,7.5,7.2,6.7,5.0,4.0,4.0,3.8,4.7,5.0,4.7,5.0,5.2,4.9,5.0,4.9,4.9
St. Petersburg Coll,121030004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Azalea,121030018,12.1,11.5,8.3,6.9,6.0,6.0,8.3,9.3,8.5,6.7,5.2,5.7,4.5,3.7,4.7,4.9,4.7,4.5,4.9,5.0,5.0,4.7,4.5,4.7
Azalea,121030018,G,G,G,G,G,G,G,K,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
John A. Chesnut Sr.,121035002,10.6,13.0,14.9,12.5,13.4,5.7,11.0,5.5,11.5,6.7,4.5,11.1,6.7,0.1,4.2,3.2,7.5,3.6,4.2,9.9,5.0,8.0,6.5,6.0
John A. Chesnut Sr.,121035002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Fl. Baptist Childre,121056006,8.5,8.8,8.8,9.8,10.1,9.9,9.4,10.1,8.4,6.0,5.4,5.0,5.7,8.8,5.5,4.4,4.5,4.7,5.0,5.2,5.0,5.5,5.2,5.9
Fl. Baptist Childre,121056006,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G
Woodlawn,121130015,8.0,7.4,7.4,6.7,3.6,5.0,11.4,13.0,10.5,8.0,6.5,10.4,6.2,4.7,5.0,4.2,2.2,3.8,5.5,5.7,8.3,5.4,5.5,6.4
Woodlawn,121130015,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,K
Bee Ridge,121150013,5.0,5.0,5.0,5.4,6.4,6.7,6.7,6.4,5.7,5.0,4.0,3.7,3.5,3.6,4.2,5.2,4.2,4.2,4.7,5.9,5.9,5.2,5.7,6.9
Bee Ridge,121150013,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Jackson Road,121152002,5.0,5.2,4.7,6.5,7.0,6.7,8.3,8.3,8.3,6.7,3.5,4.0,3.6,3.7,4.0,5.0,6.2,6.2,6.5,7.2,7.9,8.8,9.5,7.5
Jackson Road,121152002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Seminole Community,121171002,9.3,9.0,8.8,8.6,8.6,8.5,9.3,9.3,8.0,6.7,6.0,5.9,5.2,4.7,4.7,4.2,5.2,6.5,4.7,4.7,5.7,6.5,6.0,5.7
